100
5
1
25453
17 314 455 245 532 987
115 2 508 766 801 711
54 482 419 308 391 906
577 115 758 159 269 396
349 465 5 753 962 450
343 583 583 816 719 394
255 184 516 647 932 257
325 793 415 541 505 321
697 80 527 102 995 350
346 163 878 481 262 563
224 832 995 839 93 33
781 845 910 827 15 773
202 380 495 745 706 677
874 597 664 221 663 25
950 372 901 466 855 276
424 630 722 112 817 52
142 675 904 541 119 271
371 150 221 383 577 347
150 906 699 585 284 717
653 302 442 672 636 766
62 947 764 642 249 393
448 170 996 284 596 411
983 787 825 850 402 779
40 627 466 805 785 478
765 628 599 792 690 877
202 174 430 989 141 940
116 842 750 970 140 813
663 31 182 171 579 627
17 538 496 499 957 212
146 82 130 455 309 246
576 513 868 909 968 839
832 47 784 389 324 94
881 472 575 166 152 284
16 779 675 427 641 992
563 801 497 507 424 902
507 500 99 500 946 873
853 793 950 694 532 205
631 971 384 583 927 452
763 707 884 482 317 692
650 740 997 218 545 554
114 660 451 168 577 913
497 875 436 286 212 356
661 657 602 323 460 727
421 834 89 49 246 600
726 79 216 973 63 126
221 355 939 676 544 331
496 880 281 427 658 904
308 564 408 231 442 547
953 773 941 308 667 745
618 207 686 506 384 175
321 205 628 841 254 430
554 885 681 29 347 43
518 567 352 815 114 324
153 721 165 252 7 489
161 416 225 478 777 714
46 507 758 337 905 817
789 198 423 183 490 541
472 600 197 714 431 126
562 190 91 144 468 62
825 601 20 662 140 41
897 560 471 38 348 398
680 948 647 53 988 9
208 55 303 606 315 575
328 814 352 106 828 494
438 758 901 309 792 845
436 551 809 368 109 734
669 540 904 163 246 920
508 41 480 133 874 258
765 589 775 821 640 436
843 459 987 299 291 281
557 883 566 722 168 927
135 753 701 883 661 245
458 855 258 237 166 984
110 20 570 514 166 131
329 289 253 500 177 523
715 135 593 296 843 309
117 185 690 652 353 178
201 833 675 848 993 545
714 969 936 89 812 901
361 133 585 567 476 214
269 543 434 363 256 632
421 606 241 943 582 519
838 42 445 111 937 809
948 537 30 828 268 796
64 237 216 275 475 530
743 851 471 140 208 719
475 936 717 129 428 648
755 13 15 782 947 443
103 652 721 265 441 617
482 857 409 115 547 504
980 925 128 83 711 888
576 845 96 113 502 731
607 299 31 260 227 563
571 501 408 980 52 8
932 539 537 256 61 52
371 876 158 820 388 953
425 925 532 138 737 557
363 157 519 610 763 234
810 855 457 505 791 227
209 186 731 637 475 624
